dataset,seed,severity,method,n,top1,top2,mrr,mean_rank
uci_har,1,0.75,supervised_channel_hra_ae_hgb,350,0.6771428571428572,0.7742857142857142,0.7802380323410034,1.868571400642395
uci_har,1,0.75,supervised_channel_ae_only_hgb,350,0.6714285714285714,0.78,0.7811429500579834,1.8342857360839844
uci_har,1,1.0,supervised_channel_hra_ae_hgb,350,0.7028571428571428,0.8,0.7992380857467651,1.7885714769363403
uci_har,1,1.0,supervised_channel_ae_only_hgb,350,0.6828571428571428,0.7914285714285715,0.7877142429351807,1.828571438789368
uci_har,1,1.25,supervised_channel_hra_ae_hgb,350,0.7057142857142857,0.8,0.8027143478393555,1.7571429014205933
uci_har,1,1.25,supervised_channel_ae_only_hgb,350,0.7028571428571428,0.7971428571428572,0.8015238046646118,1.7485713958740234
uci_har,1,1.5,supervised_channel_hra_ae_hgb,350,0.7314285714285714,0.8314285714285714,0.821904718875885,1.6799999475479126
uci_har,1,1.5,supervised_channel_ae_only_hgb,350,0.72,0.82,0.8150951862335205,1.6942857503890991
uci_har,1,1.75,supervised_channel_hra_ae_hgb,350,0.7228571428571429,0.8228571428571428,0.8154285550117493,1.7114285230636597
uci_har,1,1.75,supervised_channel_ae_only_hgb,350,0.7342857142857143,0.8171428571428572,0.8215237855911255,1.6857142448425293
uci_har,2,0.75,supervised_channel_hra_ae_hgb,350,0.68,0.7942857142857143,0.7894285321235657,1.768571376800537
uci_har,2,0.75,supervised_channel_ae_only_hgb,350,0.6942857142857143,0.7828571428571428,0.7918094992637634,1.8171428442001345
uci_har,2,1.0,supervised_channel_hra_ae_hgb,350,0.7057142857142857,0.8342857142857143,0.8106666803359985,1.6828571557998655
uci_har,2,1.0,supervised_channel_ae_only_hgb,350,0.6942857142857143,0.78,0.7939523458480835,1.777142882347107
uci_har,2,1.25,supervised_channel_hra_ae_hgb,350,0.7314285714285714,0.8257142857142857,0.8216189742088318,1.6685714721679688
uci_har,2,1.25,supervised_channel_ae_only_hgb,350,0.7171428571428572,0.8171428571428572,0.8136190176010132,1.6828571557998655
uci_har,2,1.5,supervised_channel_hra_ae_hgb,350,0.7542857142857143,0.8171428571428572,0.8311428427696228,1.6657142639160156
uci_har,2,1.5,supervised_channel_ae_only_hgb,350,0.7342857142857143,0.82,0.8230952620506287,1.6657142639160156
uci_har,2,1.75,supervised_channel_hra_ae_hgb,350,0.7514285714285714,0.8257142857142857,0.8311905264854431,1.6685714721679688
uci_har,2,1.75,supervised_channel_ae_only_hgb,350,0.7057142857142857,0.8342857142857143,0.8125237822532654,1.659999966621399
uci_har,3,0.75,supervised_channel_hra_ae_hgb,350,0.6371428571428571,0.78,0.7632380723953247,1.8657143115997317
uci_har,3,0.75,supervised_channel_ae_only_hgb,350,0.68,0.7914285714285715,0.7885714173316956,1.7885714769363403
uci_har,3,1.0,supervised_channel_hra_ae_hgb,350,0.6914285714285714,0.8057142857142857,0.7989524006843567,1.7171428203582764
uci_har,3,1.0,supervised_channel_ae_only_hgb,350,0.7171428571428572,0.8085714285714286,0.8103809356689453,1.7142857313156128
uci_har,3,1.25,supervised_channel_hra_ae_hgb,350,0.7057142857142857,0.8285714285714286,0.813381016254425,1.6371428966522217
uci_har,3,1.25,supervised_channel_ae_only_hgb,350,0.6942857142857143,0.8114285714285714,0.8032380938529968,1.6828571557998655
uci_har,3,1.5,supervised_channel_hra_ae_hgb,350,0.7142857142857143,0.8228571428571428,0.8158571124076843,1.6342856884002686
uci_har,3,1.5,supervised_channel_ae_only_hgb,350,0.7228571428571429,0.8285714285714286,0.8217619061470032,1.6142857074737549
uci_har,3,1.75,supervised_channel_hra_ae_hgb,350,0.7228571428571429,0.8342857142857143,0.8200952410697937,1.659999966621399
uci_har,3,1.75,supervised_channel_ae_only_hgb,350,0.7314285714285714,0.84,0.8263333439826965,1.6200000047683716
uci_har,4,0.75,supervised_channel_hra_ae_hgb,350,0.7057142857142857,0.8257142857142857,0.8091905117034912,1.6971428394317627
uci_har,4,0.75,supervised_channel_ae_only_hgb,350,0.68,0.8085714285714286,0.7933809161186218,1.73714280128479
uci_har,4,1.0,supervised_channel_hra_ae_hgb,350,0.7257142857142858,0.8514285714285714,0.8241904973983765,1.6342856884002686
uci_har,4,1.0,supervised_channel_ae_only_hgb,350,0.7171428571428572,0.8342857142857143,0.8182857632637024,1.645714282989502
uci_har,4,1.25,supervised_channel_hra_ae_hgb,350,0.7342857142857143,0.8228571428571428,0.8244762420654297,1.645714282989502
uci_har,4,1.25,supervised_channel_ae_only_hgb,350,0.7285714285714285,0.8428571428571429,0.8256190419197083,1.6142857074737549
uci_har,4,1.5,supervised_channel_hra_ae_hgb,350,0.7342857142857143,0.8342857142857143,0.8259047865867615,1.631428599357605
uci_har,4,1.5,supervised_channel_ae_only_hgb,350,0.74,0.8428571428571429,0.8313809633255005,1.6057143211364746
uci_har,4,1.75,supervised_channel_hra_ae_hgb,350,0.7457142857142857,0.8571428571428571,0.8389524817466736,1.5428571701049805
uci_har,4,1.75,supervised_channel_ae_only_hgb,350,0.7285714285714285,0.8371428571428572,0.8271428346633911,1.5800000429153442
air_quality,0,0.75,supervised_channel_hra_ae_hgb,350,0.5885714285714285,0.7114285714285714,0.7189251780509949,2.148571491241455
air_quality,0,0.75,supervised_channel_ae_only_hgb,350,0.6,0.7,0.7225544452667236,2.182857036590576
air_quality,0,1.0,supervised_channel_hra_ae_hgb,350,0.6542857142857142,0.7885714285714286,0.7739693522453308,1.840000033378601
air_quality,0,1.0,supervised_channel_ae_only_hgb,350,0.6771428571428572,0.7742857142857142,0.78179931640625,1.8600000143051147
air_quality,0,1.25,supervised_channel_hra_ae_hgb,350,0.7285714285714285,0.8571428571428571,0.8309388160705566,1.5742857456207275
air_quality,0,1.25,supervised_channel_ae_only_hgb,350,0.6657142857142857,0.8485714285714285,0.7981531023979187,1.6428571939468384
air_quality,0,1.5,supervised_channel_hra_ae_hgb,350,0.7857142857142857,0.88,0.865149736404419,1.454285740852356
air_quality,0,1.5,supervised_channel_ae_only_hgb,350,0.6457142857142857,0.86,0.7926666140556335,1.5942857265472412
air_quality,0,1.75,supervised_channel_hra_ae_hgb,350,0.82,0.9142857142857144,0.8912210464477539,1.340000033378601
air_quality,0,1.75,supervised_channel_ae_only_hgb,350,0.7571428571428571,0.9114285714285716,0.858833372592926,1.4057142734527588
air_quality,1,0.75,supervised_channel_hra_ae_hgb,350,0.6457142857142857,0.7742857142857142,0.7670612335205078,1.8771429061889648
air_quality,1,0.75,supervised_channel_ae_only_hgb,350,0.5342857142857143,0.7142857142857143,0.6982823014259338,2.1114284992218018
air_quality,1,1.0,supervised_channel_hra_ae_hgb,350,0.7,0.8314285714285714,0.8070476651191711,1.7142857313156128
